Ekee,Action and Fantasy,93,6.548387096774194,2387,-0.2283349934870884,8.232148799017303
Ekee,Comedy and School,73,6.589041095890411,870,-0.18768099437087127,5.218031459051698
Ekee,Action and Shounen,38,6.447368421052632,1758,-0.3293536692086505,4.090923966421364
Ekee,Comedy and Romance,58,6.379310344827586,577,-0.39741174543369606,3.756940104425835
Ekee,Action and Organized Crime,1,10.0,10,3.2232779097387176,3.294968327815298
Ekee,Award Winning and Shounen,1,10.0,1,3.2232779097387176,3.283891132068941
Ekee,Action and Comedy,33,7.151515151515151,582,0.374793061253869,3.050738338679006
Ekee,Action and Supernatural,23,8.08695652173913,239,1.3102344314778485,2.9701912429855493
Ekee,Action and Adventure,32,5.96875,1483,-0.8079720902612824,2.9175411385240606
Ekee,Adventure and Ecchi,2,9.5,23,2.7232779097387176,2.870351144473997
Pekopain,Action and Fantasy,82,7.085365853658536,1869,-0.717217172171722,4.672950898469756
Pekopain,Action and Shounen,64,7.671875,1922,-0.1307080258302582,4.474797062255723
Pekopain,Comedy and School,76,7.644736842105263,1164,-0.15784618372499537,4.349065334116955
Pekopain,Comedy and Romance,72,7.666666666666667,867,-0.13591635916359124,3.9309874636943207
Pekopain,Action and Adventure,48,7.791666666666667,1599,-0.010916359163591238,3.5787079833977975
Pekopain,Comedy and Shounen,51,7.921568627450981,808,0.11898560162072247,3.166497683761502
Pekopain,Action and Comedy,43,7.953488372093023,910,0.15090534626276497,2.9171632221932104
Pekopain,Comedy and Supernatural,32,8.25,461,0.4474169741697418,2.3200249896511353
Pekopain,Award Winning and Romantic Subtext,2,10.0,2,2.197416974169742,2.291388474793213
Pekopain,Action and Supernatural,40,7.7,585,-0.10258302583025802,2.245704522771312
akitaliang,Action and Fantasy,53,8.471698113207546,860,0.12082092022509094,13.889122399399525
akitaliang,Action and Adventure,21,8.80952380952381,404,0.45864661654135475,6.071793219202084
akitaliang,Action and Shounen,21,8.523809523809524,372,0.17293233082706827,5.706246581427124
akitaliang,Action and Drama,18,8.277777777777779,344,-0.07309941520467689,4.732466790500185
akitaliang,Action and Romance,18,8.166666666666666,277,-0.18421052631578938,4.454206692262039
akitaliang,Action and Comedy,14,8.428571428571429,301,0.07769423558897337,3.8987927357561665
akitaliang,Action and Isekai,14,8.428571428571429,263,0.07769423558897337,3.8039918176841176
akitaliang,Action and Gore,15,7.933333333333334,233,-0.4175438596491219,3.4532091380031766
akitaliang,Drama and School,12,8.5,194,0.14912280701754455,3.264685388753793
akitaliang,Action and Video Game,8,9.5,99,1.1491228070175445,3.1504901111175307
Lyngmo,Action and Fantasy,54,6.944444444444445,1998,-0.00849673202614376,12.299320179160045
Lyngmo,Action and Adventure,42,6.976190476190476,1856,0.023249299719887873,10.256018515457587
Lyngmo,Action and Shounen,31,7.935483870967742,1511,0.9825426944971536,8.843665375932696
Lyngmo,Action and Comedy,24,7.208333333333333,519,0.25539215686274463,4.919081393375603
Lyngmo,Comedy and School,25,6.52,322,-0.43294117647058883,3.947262255544756
Lyngmo,Action and Gore,13,8.461538461538462,183,1.5085972850678733,3.8203095388128014
Lyngmo,Action and Drama,16,7.8125,224,0.8595588235294116,3.7020532826296004
Lyngmo,Action and Isekai,21,6.714285714285714,273,-0.238655462184874,3.446222895137599
Lyngmo,Award Winning and Shounen,1,10.0,1,3.0470588235294116,3.1963031527848482
Lyngmo,Action and Survival,6,9.0,87,2.0470588235294116,3.119550762870057
COEETER,Drama and Fantasy,1,10.0,12,0.3333333333333339,11.2090395480226
COEETER,Drama and Romance,1,10.0,12,0.3333333333333339,11.2090395480226
COEETER,Drama and Adult Cast,1,10.0,12,0.3333333333333339,11.2090395480226
COEETER,Drama and Historical,1,10.0,12,0.3333333333333339,11.2090395480226
COEETER,Drama and Supernatural,1,10.0,11,0.3333333333333339,10.99717514124294
COEETER,Drama and Reincarnation,1,10.0,11,0.3333333333333339,10.99717514124294
COEETER,Drama and Showbiz,1,10.0,11,0.3333333333333339,10.99717514124294
COEETER,Drama and Seinen,1,10.0,11,0.3333333333333339,10.99717514124294
COEETER,Romance and School,1,9.0,13,-0.6666666666666661,10.420903954802261
COEETER,Romance and Seinen,1,9.0,13,-0.6666666666666661,10.420903954802261
Chamillie,Action and Fantasy,243,7.296296296296297,5644,-0.07751937984496049,7.3562868096119205
Chamillie,Action and Shounen,135,8.022222222222222,4388,0.6484065460809649,5.266771745805233
Chamillie,Action and Adventure,128,7.625,4149,0.2511843238587428,4.625603667557556
Chamillie,Comedy and Romance,113,6.938053097345133,1758,-0.43576257879612434,2.6831320477899725
Chamillie,Horror and High Stakes Game,1,10.0,13,2.626184323858743,2.6527876877349
Chamillie,Romance and Shounen,1,10.0,13,2.626184323858743,2.6527876877349
Chamillie,Slice of Life and Organized Crime,1,10.0,12,2.626184323858743,2.652397672134276
Chamillie,Supernatural and Mythology,1,10.0,12,2.626184323858743,2.652397672134276
Chamillie,Supernatural and School,1,10.0,12,2.626184323858743,2.652397672134276
Chamillie,Action and Idols (Female),1,10.0,1,2.626184323858743,2.648107500527412
BenArckane,Action and Fantasy,96,7.708333333333333,5041,-0.21906713505074205,8.77850792089611
BenArckane,Action and Shounen,70,8.185714285714285,4486,0.25831381733020997,7.361846101460959
BenArckane,Action and Adventure,65,8.015384615384615,4407,0.08798414700054025,6.845854280270801
BenArckane,Action and Comedy,49,8.408163265306122,2089,0.48076279692204693,4.749036462294452
BenArckane,Comedy and School,65,7.584615384615384,1029,-0.34278508376869077,4.15216267751947
